5 2 3 1 1 0 7 2 3 0 0 0 0 0 0 0 0 0 0 0,88
5 3 1 1 3 5 1 1 1 1 0 0 0 69 0 0 0 0 0 0,88
1 1 1 1 3 1 4 0 0 2 0 0 0 0 1 1 0 0 0 0,87
1 1 9 1 1 1 1 2 49 2 0 0 0 0 0 0 0 0 0 4,87
1 1 9 1 1 1 1 2 62 2 0 0 0 0 1 1 0 0 0 2,85
1 1 1 1 1 1 4 0 0 2 0 0 0 0 1 1 0 0 1 0,85
1 1 1 1 8 5 1 0 0 2 0 0 1 0 1 1 0 0 0 0,84
2 4 2 4 3 1 0 0 0 0 0 0 1 0 1 0 0 0 0 0,83
1 1 1 1 6 5 1 0 0 1 0 0 0 0 1 1 1 0 0 0,82
5 1 1 1 2 8 3 1 2 0 0 0 0 9 0 0 0 0 0 0,82
1 1 1 1 8 5 2 0 0 2 0 0 0 0 1 1 0 0 0 0,82
5 3 1 1 4 0 6 1 2 1 0 0 0 226 0 0 0 0 0 0,82
2 1 1 1 1 5 42 0 1 1 1 0 1 1 0 0 0 0 0 0,82
1 1 9 1 1 1 1 2 176 2 0 0 0 0 1 1 0 0 0 4,81
5 1 1 1 2 5 3 1 2 0 0 0 0 6 0 0 0 0 0 0,79
5 3 1 1 6 0 6 1 2 0 0 0 0 1 0 0 0 0 0 0,79
5 3 1 1 2 5 1 1 1 1 0 0 0 161 0 0 0 0 0 0,78
1 2 1 1 1 1 5 0 0 2 0 0 0 0 1 1 0 0 0 0,78
6 0 14 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,77
1 1 1 1 6 5 1 0 0 2 0 0 0 0 1 1 1 0 0 0,77
5 3 1 1 4 0 6 1 2 0 0 0 0 208 0 0 0 0 0 0,77
1 1 9 1 1 1 1 1 66 2 0 0 0 0 1 1 0 0 0 1,76
1 1 9 1 1 1 1 3 64 2 0 0 0 0 1 1 0 0 0 3,76
1 1 1 1 6 5 4 0 0 2 1 0 0 0 1 1 0 0 0 0,76
2 5 1 1 1 1 0 0 1 1 1 0 1 1 1 0 0 0 0 0,76
5 3 1 1 7 0 5 1 1 1 0 0 1 133 0 0 0 0 0 0,75
5 3 1 1 2 0 12 1 2 0 0 0 0 132 0 0 0 0 0 0,75
1 1 1 1 1 1 4 0 0 2 1 0 0 0 1 1 1 0 0 0,75
5 3 1 1 4 0 6 1 2 0 1 0 0 53 0 0 0 0 0 0,71
5 1 1 3 0 0 7 2 3 0 0 0 0 0 0 0 0 0 0 0,70
2 1 1 1 1 1 7 1 1 1 1 0 1 1 1 0 0 0 0 0,70
2 1 1 1 1 1 0 0 1 1 1 0 1 1 0 0 0 0 0 0,70
5 2 2 1 1 14 3 1 2 0 0 0 0 15 0 0 0 0 0 0,70
5 3 1 1 7 0 6 1 2 0 0 0 1 133 0 0 0 0 0 0,70
5 3 1 1 6 1 1 1 1 1 0 0 0 20 0 0 0 0 0 0,69
5 3 1 1 4 0 5 1 1 1 0 0 0 57 0 0 0 0 0 0,69
10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,68
2 1 1 1 1 1 0 1 1 1 0 0 1 1 1 0 0 0 0 0,68
